file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,ref_period,period_agree,power_and_agree,double_dipper,true_period_d
tess2020294194027-s0031-0000000122612091-0198-s_lc.fits,122612091,31,slow,2.2166927517435395,0.0569016704102737,0.37213802,2.2166927517435395,1.1118079609910207,0.5543458983814749,0.7376728701136669,0.4440021716781583,0.0569016704102737,0.0506061266883568,0.0430543119103072,0.0418019519147064,0.032321401752659,True,2.2008170474678472,True,True,False,2.2166927517435395
tess2020294194027-s0031-0000000178155732-0198-a_fast-lc.fits,178155732,31,fast,6.926423465580208,0.0094206890708202,0.08014143,6.926423465580208,12.27623215205218,2.475829974724373,5.014377788397754,1.860110793760855,0.0094206890708202,0.0042819219979709,0.0035806350563473,0.0030808857461939,0.002203221772904,False,3.0884874267745084,False,False,False,6.926423465580208
tess2020294194027-s0031-0000000178155732-0198-s_lc.fits,178155732,31,slow,3.811579334083755,0.016977295902499,0.05036235,3.811579334083755,4.823867417249009,6.568288795213188,1.4722982960094169,3.230504210499532,0.016977295902499,0.0112401139780877,0.0100322125698934,0.0066599377955347,0.006239106218885,False,3.0884874267745084,False,False,False,3.811579334083755
tess2020294194027-s0031-0000000318753380-0198-s_lc.fits,318753380,31,slow,5.014143547523723,0.0075970842884431,0.13516784,5.014143547523723,3.9294094403776,2.256051732403201,2.629282562572672,0.6822640927487507,0.0075970842884431,0.0060298582405681,0.0047245873921122,0.004715979658632,0.0043040790522369,False,5.014143547523723,True,False,False,5.014143547523723
tess2020294194027-s0031-0000000382391899-0198-a_fast-lc.fits,382391899,31,fast,1.9455102104668576,0.0226248782157882,1.18134379,1.9455102104668576,6.245993180468118,0.9754243637923984,0.3257373409142679,0.3908131848160694,0.0226248782157882,0.0207672182866336,0.0180010350509681,0.0169708647767889,0.0163247747154117,False,5.455828791045183,False,False,False,1.9455102104668576
tess2020294194027-s0031-0000000382391899-0198-s_lc.fits,382391899,31,slow,1.945382322075615,0.046196710492595,0.53206086,1.945382322075615,0.9753567991576902,0.4883475522879852,0.3257140076316973,0.3907852825983896,0.046196710492595,0.045967597747872,0.0409753426332678,0.0400026274485032,0.0399161548362283,False,5.455828791045183,False,False,False,1.945382322075615
tess2020294194027-s0031-0000000439867639-0198-s_lc.fits,439867639,31,slow,0.1857881102652672,0.0027256025699343,1.74730062,0.1857881102652672,0.3451688182675417,0.6252318540915486,0.2954416076122796,0.7419903614604407,0.0027256025699343,0.0020701193746667,0.0020387974547996,0.0019794389963238,0.0019646358048808,False,3.1680324734364858,False,False,True,0.3451688182675417
tess2021146024351-s0039-0000000299798795-0210-a_fast-lc.fits,299798795,39,fast,0.6156433486631848,0.085218219487518,1.67316914,0.6156433486631848,1.2259550753212227,1.0508017220512749,1.4711792429853183,0.9074986269004224,0.085218219487518,0.0572316479500669,0.0031158652575682,0.0018018957720171,0.0014672022677651,True,1.228666162061912,False,False,True,1.2259550753212227
tess2021146024351-s0039-0000000299798795-0210-s_lc.fits,299798795,39,slow,0.6155939273366262,0.2536622110630572,0.97147942,0.6155939273366262,1.2258597589892255,1.058680065381301,1.370097534231414,0.7393729252565394,0.2536622110630572,0.2078784249756591,0.0099902329780075,0.0043908380096228,0.0042682823244848,True,1.228666162061912,False,False,True,1.2258597589892255
tess2021146024351-s0039-0000000394357918-0210-s_lc.fits,394357918,39,slow,2.911888493265461,0.0023776203793336,4.2706275,2.911888493265461,0.1360597772188325,1.0275393854281143,0.4073965977204617,1.838897977218804,0.0023776203793336,0.0010814203120653,0.001066005239866,0.0008916960159499,0.0008775744517052,False,6.419231756442765,False,False,False,2.911888493265461
tess2021232031932-s0042-0000000436873727-0213-s_lc.fits,436873727,42,slow,0.2548357539057095,0.1143997912820266,0.09166002,0.2548357539057095,1.549499327356883,2.2516538078611283,4.422914103420092,0.3388246227197591,0.1143997912820266,0.0183116371594537,0.0168620958033406,0.0157742986550357,0.0156464091735068,True,1.015884999565234,False,False,False,0.2548357539057095
tess2021232031932-s0042-0000000436875934-0213-s_lc.fits,436875934,42,slow,0.4587335433336899,0.0098408459957748,1.91820264,0.4587335433336899,0.917598816057576,1.3713192977581588,0.3936247241256137,0.3447007675472068,0.0098408459957748,0.0080537271720197,0.0075147800987338,0.006548007239636,0.0062682427882678,False,0.4587335433336899,True,False,True,0.917598816057576
tess2021258175143-s0043-0000000436873727-0214-s_lc.fits,436873727,43,slow,0.2546992705549605,0.1184097045458244,0.09183645,0.2546992705549605,0.5093589540017668,0.339113326599689,0.9579487714339262,1.077652991702525,0.1184097045458244,0.0337603962231858,0.0186030956373269,0.017451608361382,0.0144685598117298,True,1.015884999565234,False,False,False,0.2546992705549605
tess2021258175143-s0043-0000000436875934-0214-s_lc.fits,436875934,43,slow,1.3871934478660384,0.0046341325814138,2.29994774,1.3871934478660384,0.6897801582700475,2.805431903168332,0.2499539007600114,0.3932327512749275,0.0046341325814138,0.0043952377628927,0.0043076975328909,0.0041862343711433,0.004114953892323,False,0.4587335433336899,False,False,False,1.3871934478660384
tess2021284114741-s0044-0000000436873727-0215-s_lc.fits,436873727,44,slow,0.2549644807900261,0.1253868971741262,0.0863719,0.2549644807900261,0.5098824857972205,1.0152967283460168,0.3394649233484493,3.4490043577005784,0.1253868971741262,0.0384262016784473,0.0204469983300203,0.014374308987914,0.0088552793434788,True,1.015884999565234,False,False,False,0.2549644807900261
tess2021284114741-s0044-0000000436875934-0215-s_lc.fits,436875934,44,slow,0.9153396530152308,0.0080471683720686,1.79745317,0.9153396530152308,0.6865609202104317,0.3443006107154766,2.744222507798564,0.3059523335796975,0.0080471683720686,0.0074699628445539,0.0066844599721204,0.0060935539987581,0.0060777449440556,False,0.4587335433336899,False,False,False,0.9153396530152308
tess2022138205153-s0052-0000000279947414-0224-s_lc.fits,279947414,52,slow,0.3701817456557447,0.0136211763170352,0.64247608,0.3701817456557447,0.6784780696600122,0.2901871218801889,4.058471115060891,2.032950209580992,0.0136211763170352,0.0114834937270213,0.0107830255506064,0.0107082368389419,0.0100986543213282,False,5.432424944278769,False,False,True,0.6784780696600122
tess2022138205153-s0052-0000000302773669-0224-s_lc.fits,302773669,52,slow,5.287801258761474,0.0185818608779042,0.09571314,5.287801258761474,1.5066128280536724,3.0466530214229857,1.3266896078387662,0.9249974222936764,0.0185818608779042,0.0176846172008886,0.0172251589570974,0.0170471509835856,0.0170424381398756,False,6.575320594040111,False,False,False,5.287801258761474
tess2022138205153-s0052-0000000408618999-0224-a_fast-lc.fits,408618999,52,fast,4.866881814031332,0.0032835797211085,0.27388692,4.866881814031332,1.4192206337301674,3.04682853721394,3.928250127969165,1.718590104545262,0.0032835797211085,0.0028711518667299,0.0028041257428992,0.0027164253490375,0.0025727551550919,False,10.507278167016574,False,False,False,4.866881814031332
tess2022138205153-s0052-0000000408618999-0224-s_lc.fits,408618999,52,slow,5.068488389253078,0.0048030788351839,0.12399673,5.068488389253078,8.087425632613655,1.0174140003084642,1.742997212784394,0.5047360235846643,0.0048030788351839,0.0035512461949866,0.0032196563034142,0.0028078762976141,0.0024089563692659,False,10.507278167016574,False,False,False,5.068488389253078
tess2022164095748-s0053-0000000279947414-0226-s_lc.fits,279947414,53,slow,2.03952110331359,0.0223804907603765,0.67077279,2.03952110331359,1.3541207601841256,0.6779628412499824,0.8151077277442591,11.1076197215786,0.0223804907603765,0.0208701846336736,0.0207059451601096,0.0203894011354483,0.0194249525296649,False,5.432424944278769,False,False,False,2.03952110331359
tess2022302161335-s0058-0000000245392284-0247-s_lc.fits,245392284,58,slow,0.290590481757661,0.0062714570685037,1.46466494,0.290590481757661,1.7339166047314358,0.580050416293613,0.8720290352658804,0.1935821598966064,0.0062714570685037,0.0061505715818223,0.0054893457301001,0.0044670246009865,0.0040652291311971,False,6.579091312015903,False,False,False,0.290590481757661
tess2022302161335-s0058-0000000245509452-0247-s_lc.fits,245509452,58,slow,0.8108089131072846,0.0263674844672756,0.86627007,0.8108089131072846,1.6128467352994111,0.6508782099169194,0.5415209204928342,1.0833400084286071,0.0263674844672756,0.0255169885113889,0.0186182243494812,0.0186074591600206,0.0184575700864037,False,0.6490014594381046,False,False,True,1.6128467352994111
tess2022302161335-s0058-0000000408618999-0247-a_fast-lc.fits,408618999,58,fast,4.481134316298891,0.0009865645790254,0.25093198,4.481134316298891,3.3863080655979005,9.283390827861997,6.622134716348661,2.5232417928003783,0.0009865645790254,0.0009763295631981,0.0007756384027661,0.0004099023313848,0.0003657432121269,False,10.507278167016574,False,False,False,4.481134316298891
tess2022302161335-s0058-0000000408618999-0247-s_lc.fits,408618999,58,slow,2.569879429836228,0.0025185961940429,0.11334658,2.569879429836228,3.653941361548567,9.2830585066347,6.319880304767063,1.0121450775688254,0.0025185961940429,0.0019766356980503,0.0016398495356763,0.001413196734372,0.0010979313352844,False,10.507278167016574,False,False,False,2.569879429836228
tess2022302161335-s0058-0000000436873727-0247-a_fast-lc.fits,436873727,58,fast,1.019633673812977,0.1063076056451777,0.16482472,1.019633673812977,5.3451244716270505,0.3397611415851772,1.308400108163813,2.202429361710438,0.1063076056451777,0.0101622076326441,0.0096156422029564,0.0084432552006741,0.0076740857566795,True,1.015884999565234,True,True,False,1.019633673812977
tess2022302161335-s0058-0000000436873727-0247-s_lc.fits,436873727,58,slow,1.0271253401207163,0.2437960841164844,0.1106441,1.0271253401207163,2.2022984294839305,0.3397388293214493,3.154817689470604,2.7757048212003217,0.2437960841164844,0.0223309685901863,0.0216724367680458,0.0184463220468452,0.0162133677545148,True,1.015884999565234,True,True,False,1.0271253401207163
tess2022302161335-s0058-0000000436875934-0247-s_lc.fits,436875934,58,slow,4.4808300705775,0.008247963070012,1.97272182,4.4808300705775,0.552305693681323,0.4590137451382486,0.2755650416142697,0.9182419307335928,0.008247963070012,0.0066489462855464,0.0061135037600226,0.0060300608348273,0.0053612271462814,False,0.4587335433336899,False,False,False,4.4808300705775
tess2022330142927-s0059-0000000279947414-0248-a_fast-lc.fits,279947414,59,fast,8.062203838510216,0.0061432127399162,1.49045587,8.062203838510216,0.8154326501176051,2.023417480514848,5.26745630050888,0.4064596327057704,0.0061432127399162,0.0048347849533076,0.0042530949603242,0.0040636563163711,0.0040416262166294,False,5.432424944278769,False,False,False,8.062203838510216
